Date,NAV,BENCH
2022-06-29,7605.2836,3818.83
2022-06-30,7524.861,3785.38
2022-07-01,7481.6571,3825.33
2022-07-04,7432.9541,3825.33
2022-07-05,7487.2006,3831.39
2022-07-06,7519.1603,3845.08
2022-07-07,7689.369,3902.62
2022-07-08,7685.3957,3899.38
2022-07-11,7694.7697,3854.43
2022-07-12,7681.9997,3818.8
2022-07-13,7644.9978,3801.78
2022-07-14,7642.9566,3790.38
2022-07-15,7647.7006,3863.16
2022-07-18,7601.0418,3830.85
2022-07-19,7770.33,3936.69
2022-07-20,7846.4366,3959.9
2022-07-21,7863.132,3998.95
2022-07-22,7796.2799,3961.63
2022-07-25,7818.758,3966.84
2022-07-26,7823.9411,3921.05
2022-07-27,7923.9848,4023.61
2022-07-28,7985.9094,4072.43
2022-07-29,8058.3487,4130.29
2022-08-01,8035.2455,4118.63
2022-08-02,8121.8665,4091.19
2022-08-03,8203.5424,4155.17
2022-08-04,8196.1496,4151.94
2022-08-05,8246.2459,4145.19
2022-08-08,8211.8375,4140.06
2022-08-09,8157.1292,4122.47
2022-08-10,8204.0642,4210.24
2022-08-11,8206.8441,4207.27
2022-08-12,8319.6392,4280.15
2022-08-15,8378.7189,4297.14
2022-08-16,8403.8083,4305.2
2022-08-17,8360.5568,4274.04
2022-08-18,8447.4232,4283.74
2022-08-19,8387.7547,4228.48
2022-08-22,8297.6063,4137.99
2022-08-23,8305.5933,4128.73
2022-08-24,8273.9373,4140.77
2022-08-25,8332.3443,4199.12
2022-08-26,8171.0479,4057.66
2022-08-29,8153.226,4030.61
2022-08-30,8095.5869,3986.16
2022-08-31,7999.5409,3955.0
2022-09-01,8022.5617,3966.85
2022-09-02,7992.2372,3924.26
2022-09-05,8004.4522,3924.26
2022-09-06,8013.3211,3908.19
2022-09-07,8026.5283,3979.87
2022-09-08,8047.6969,4006.18
2022-09-09,8124.4871,4067.36
2022-09-12,8214.7849,4110.41
2022-09-13,8107.8248,3932.69
2022-09-14,8122.4604,3946.01
2022-09-15,8041.4074,3901.35
2022-09-16,8002.3109,3873.33
2022-09-19,8004.6442,3899.89
2022-09-20,7937.9187,3855.93
2022-09-21,7967.9416,3789.93
2022-09-22,7883.6134,3757.99
2022-09-23,7822.4289,3693.23
2022-09-26,7841.675,3655.04
2022-09-27,7847.8503,3647.29
2022-09-28,7825.5193,3719.04
2022-09-29,7639.7495,3640.47
2022-09-30,7651.2374,3585.62
2022-10-03,7772.5266,3678.43
2022-10-04,7931.2266,3790.93
2022-10-05,8016.9051,3783.28
2022-10-06,8003.0456,3744.52
2022-10-07,7947.9347,3639.66
2022-10-10,7976.7928,3612.39
2022-10-11,7851.5445,3588.84
2022-10-12,7836.2612,3577.03
2022-10-13,7907.3997,3669.91
2022-10-14,7832.4057,3583.07
2022-10-17,7876.5527,3677.95
2022-10-18,7967.3497,3719.98
2022-10-19,7952.8139,3695.16
2022-10-20,7873.9999,3665.78
2022-10-21,7983.2596,3752.75
2022-10-24,8074.7438,3797.34
2022-10-25,8088.6545,3859.11
2022-10-26,7905.3704,3830.6
2022-10-27,8034.4565,3807.3
2022-10-28,8097.4435,3901.06
2022-10-31,8146.2322,3871.98
2022-11-01,8180.1754,3856.1
2022-11-02,8045.2054,3759.69
2022-11-03,8031.1542,3719.89
2022-11-04,8023.3556,3770.55
2022-11-07,8005.8948,3806.8
2022-11-08,8057.9983,3828.11
2022-11-09,8033.3685,3748.57
2022-11-10,8202.0954,3956.37
2022-11-11,8144.7968,3992.93
2022-11-14,8095.5041,3957.25
2022-11-15,8130.2656,3991.73
2022-11-16,8032.9462,3958.79
2022-11-17,8034.0736,3946.56
2022-11-18,8111.7682,3965.34
2022-11-21,8185.8158,3949.94
2022-11-22,8164.4641,4003.58
2022-11-23,8155.5267,4027.26
2022-11-24,8150.3162,4027.26
2022-11-25,8109.1055,4026.12
2022-11-28,8080.5719,3963.94
2022-11-29,8102.217,3957.63
2022-11-30,8201.4437,4080.11
2022-12-01,8097.4168,4076.57
2022-12-02,8077.8594,4071.7
2022-12-05,7961.6136,3998.84
2022-12-06,7947.9118,3941.26
2022-12-07,7914.1877,3933.92
2022-12-08,7908.764,3963.51
2022-12-09,7929.6912,3934.38
2022-12-12,7974.3213,3990.56
2022-12-13,8004.6572,4019.65
2022-12-14,7913.6295,3995.32
2022-12-15,7723.9847,3895.75
2022-12-16,7724.1939,3852.36
2022-12-19,7644.7414,3817.66
2022-12-20,7623.4983,3821.62
2022-12-21,7725.6635,3878.44
2022-12-22,7619.2574,3822.39
2022-12-23,7635.2474,3844.82
2022-12-26,7635.2474,3844.82
2022-12-27,7615.7041,3829.25
2022-12-28,7570.8399,3783.22
2022-12-29,7651.7574,3849.28
2022-12-30,7566.28,3839.5
2023-01-02,7591.8778,3839.5
2023-01-03,7708.3416,3824.14
2023-01-04,7826.0047,3852.97
2023-01-05,7812.8224,3808.1
2023-01-06,7964.5561,3895.08
2023-01-09,7949.3373,3892.09
2023-01-10,7976.5772,3919.25
2023-01-11,8054.7304,3969.61
2023-01-12,8087.9062,3983.17
2023-01-13,8147.1483,3999.09
2023-01-16,8169.5269,3999.09
2023-01-17,8181.0512,3990.97
2023-01-18,8134.852,3928.86
2023-01-19,7971.4559,3898.85
2023-01-20,8093.832,3972.61
2023-01-23,8188.3233,4019.81
2023-01-24,8210.0993,4016.95
2023-01-25,8209.8035,4016.22
2023-01-26,8440.7662,4060.43
2023-01-27,8483.8197,4070.56
2023-01-30,8419.8418,4017.77
2023-01-31,8607.1251,4076.6
2023-02-01,8689.1231,4119.21
2023-02-02,8859.5086,4179.76
2023-02-03,8948.0621,4136.48
2023-02-06,8876.7701,4111.08
2023-02-07,8913.632,4164.0
2023-02-08,8932.357,4117.86
2023-02-09,8920.9073,4081.5
2023-02-10,8888.9203,4090.46
2023-02-13,8997.2576,4137.29
2023-02-14,9045.3134,4136.13
2023-02-15,9098.6743,4147.6
2023-02-16,9109.7991,4090.41
2023-02-17,9061.4993,4079.09
2023-02-20,9017.9538,4079.09
2023-02-21,8873.3405,3997.34
2023-02-22,8855.8004,3991.05
2023-02-23,8934.3585,4012.32
2023-02-24,8851.5151,3970.04
2023-02-27,8932.9714,3982.24
2023-02-28,9023.49,3970.15
2023-03-01,8979.245,3951.39
2023-03-02,9094.9603,3981.35
2023-03-03,9205.1978,4045.64
2023-03-06,9217.55,4048.42
2023-03-07,9192.8008,3986.37
2023-03-08,9240.3534,3992.01
2023-03-09,9054.0607,3918.32
2023-03-10,8807.5168,3861.59
2023-03-13,8417.0171,3855.76
2023-03-14,8596.1927,3919.29
2023-03-15,8293.6299,3891.93
2023-03-16,8479.3109,3960.28
2023-03-17,8314.5942,3916.64
2023-03-20,8425.7294,3951.57
2023-03-21,8660.3162,4002.87
2023-03-22,8557.9719,3936.97
2023-03-23,8561.7952,3948.72
2023-03-24,8402.6446,3970.99
2023-03-27,8480.7557,3977.53
2023-03-28,8469.549,3971.27
2023-03-29,8604.6559,4027.81
2023-03-30,8715.805,4050.83
2023-03-31,8796.2885,4109.31
2023-04-03,8743.0024,4124.51
2023-04-04,8656.4556,4100.6
2023-04-05,8601.875,4090.38
2023-04-06,8606.5066,4105.02
2023-04-10,8669.5977,4109.11
2023-04-11,8701.0495,4108.94
2023-04-12,8672.6629,4091.95
2023-04-13,8773.3598,4146.22
2023-04-14,8906.1035,4137.64
2023-04-17,8855.061,4151.32
2023-04-18,8958.533,4154.87
2023-04-19,8949.0154,4154.52
2023-04-20,8894.5373,4129.79
2023-04-21,8931.4511,4133.52
2023-04-24,8940.4633,4137.04
2023-04-25,8735.827,4071.63
2023-04-26,8626.243,4055.99
2023-04-27,8695.2833,4135.35
2023-04-28,8656.3881,4169.48
2023-05-01,8685.9769,4167.87
2023-05-02,8461.8538,4119.58
2023-05-03,8491.3566,4090.75
2023-05-04,8380.0306,4061.22
2023-05-05,8580.1183,4136.25
2023-05-08,8633.6797,4138.12
2023-05-09,8641.2058,4119.17
2023-05-10,8577.2233,4137.64
2023-05-11,8626.5102,4130.62
2023-05-12,8674.3917,4124.08
2023-05-15,8710.0425,4136.28
2023-05-16,8666.0684,4109.9
2023-05-17,8681.2439,4158.77
2023-05-18,8852.6469,4198.05
2023-05-19,8866.468,4191.98
2023-05-22,8908.8101,4192.63
2023-05-23,8776.3261,4145.58
2023-05-24,8639.7297,4115.24
